date,per_hundred_income,total_return_index
2016-06-22,0.6500000000,112.699033698226
2016-06-23,0.6161000000,112.703724024058
2016-06-25,1.2410000000,112.725605851088
2016-06-26,0.6159000000,112.732548621152
2016-06-27,0.6234000000,112.711388908712
2016-06-28,0.6314000000,112.724139912804
2016-06-29,0.6403000000,112.715571687035
2016-06-30,0.6476000000,112.757834779809
2016-07-02,1.2973000000,112.783734581156
2016-07-03,0.6442000000,112.791000109338
2016-07-04,0.6400000000,112.780173047864
2016-07-05,0.6423000000,112.795317253764
2016-07-06,0.6457000000,112.809365223619
2016-07-07,0.6440000000,112.815502611427
2016-07-09,1.2862000000,112.852575156333
2016-07-10,0.7293000000,112.860805494639
2016-07-11,0.6401000000,112.851103583891
2016-07-12,0.6402000000,112.851560869727
2016-07-13,0.6413000000,112.858798040325
2016-07-14,0.7141000000,112.873625646200
2016-07-16,1.2535000000,112.888902556427
2016-07-17,0.6996000000,112.896800264050
2016-07-18,0.6300000000,112.899399357411
2016-07-19,0.6406000000,112.911145387119
2016-07-20,0.6721000000,112.915348647038
2016-07-21,0.6712000000,112.917284649576
2016-07-23,1.2523000000,112.938197579917
2016-07-24,0.6328000000,112.945344309059
2016-07-25,0.6359000000,112.946882205160
2016-07-26,0.6366000000,112.945032333629
2016-07-27,0.6372000000,112.960140833708
2016-07-28,0.8948000000,112.975894029563
2016-07-30,1.2704000000,113.001547586674
2016-07-31,0.6667000000,113.009081399852
2016-08-01,0.6351000000,113.002697245968
2016-08-02,0.6310000000,113.010957182371
2016-08-03,0.6309000000,113.022605193521
2016-08-04,0.6219000000,113.028504461627
2016-08-06,1.2397000000,113.052692959091
2016-08-07,0.7680000000,113.061375405910
2016-08-08,0.6121000000,113.060386567006
2016-08-09,0.6117000000,113.063903926746
2016-08-10,0.6115000000,113.071947826355
2016-08-11,0.6116000000,113.076603084689
2016-08-13,1.2059000000,113.091369239533
2016-08-14,0.6235000000,113.098420486405
2016-08-15,0.6396000000,113.092080951921
2016-08-16,0.6457000000,113.097122381521
2016-08-17,0.8010000000,113.111842859120
2016-08-18,0.6063000000,113.117570208024
2016-08-20,1.2031000000,113.144748480743
2016-08-21,0.6267000000,113.151839262130
2016-08-22,0.6101000000,113.150826369771
2016-08-23,0.6151000000,113.152131439241
2016-08-24,0.6169000000,113.159111794229
2016-08-25,0.6263000000,113.170723382114
2016-08-27,1.2340000000,113.194878514671
2016-08-28,0.7048000000,113.202856489709
2016-08-29,0.6211000000,113.203090495977
2016-08-30,0.6141000000,113.206647896065
2016-08-31,0.6164000000,113.213625953841
2016-09-01,0.6138000000,113.226233038355
2016-09-03,1.2243000000,113.241227071039
2016-09-04,0.6123000000,113.248160831373
2016-09-05,0.6076000000,113.251646140508
2016-09-06,0.6021000000,113.256201119742
2016-09-07,0.6654000000,113.264869213875
2016-09-08,0.6005000000,113.275067052734
2016-09-10,1.1845000000,113.294154270316
2016-09-11,0.5998000000,113.300949653689
2016-09-12,0.6047000000,113.294203938521
2016-09-13,0.6042000000,113.307843774621
2016-09-17,2.6503000000,113.360545716333
2016-09-18,0.6150000000,113.367517389895
2016-09-19,0.6226000000,113.348502260572
2016-09-20,0.6969000000,113.351869707082
2016-09-21,0.7526000000,113.363799682554
2016-09-22,0.6356000000,113.350600457136
2016-09-24,1.2681000000,113.383115155567
2016-09-25,0.8387000000,113.392624597435
2016-09-26,0.6410000000,113.381749671506
2016-09-27,0.7039000000,113.395398118365
2016-09-28,0.6517000000,113.420933949227
2016-09-29,0.6492000000,113.422628993451
2016-10-08,5.8861000000,113.571104721989
2016-10-09,0.6489000000,113.578474350975
2016-10-10,0.6482000000,113.500699824374
